Group,Athlete,Distance,Session Load,Workload,Sprint Distance,High Intensity Running,No. of High Intensity Events,Metres per Minute,No. of Sprints,Top Speed,Raw Top Speed,Accelerations,Decelerations,Minutes Played
CBs,SYN_CBs_MEDIO_01161,5005,1036,5.3,11,63,8,89,2,27.2,29.1,31,32,61
CBs,SYN_CBs_ALTO_00491,8099,1358,7.0,28,244,24,102,3,30.9,32.9,64,63,83
CMs,SYN_CMs_MEDIO_01712,5207,1034,5.2,20,174,10,73,2,29.7,31.5,32,42,71
STs,SYN_STs_MEDIO_00849,6548,1274,6.7,78,279,16,77,6,27.1,29.0,43,40,82
10s,SYN_10s_MEDIO_00516,5154,920,4.8,35,268,11,68,1,28.4,30.9,40,36,82
WBs,SYN_WBs_MEDIO_00759,5421,1258,5.7,48,235,14,74,5,29.8,31.7,47,32,71
STs,SYN_STs_ALTO_00181,9851,1986,9.9,102,398,25,113,6,28.7,31.4,84,66,90
CBs,SYN_CBs_MEDIO_01263,4247,805,4.1,16,11,8,71,0,26.7,29.3,35,33,58
STs,SYN_STs_MEDIO_00072,5346,1090,5.2,46,153,14,68,4,28.7,31.3,39,31,72
CBs,SYN_CBs_BAIXO_01258,1458,61,0.1,0,0,3,39,0,25.1,28.5,18,3,49
STs,SYN_STs_MEDIO_00051,6269,1357,6.2,112,302,14,85,5,27.5,28.6,48,39,72
STs,SYN_STs_ALTO_01104,9025,2029,10.2,85,399,24,108,8,29.8,31.1,78,73,86
10s,SYN_10s_BAIXO_01319,1230,120,0.6,3,0,3,22,1,26.0,28.2,13,0,50
CBs,SYN_CBs_ALTO_03148,8260,1435,7.8,29,191,14,101,0,29.5,32.4,69,53,81
STs,SYN_STs_MEDIO_00683,4983,954,4.9,27,281,13,75,5,29.4,32.9,31,36,61
CBs,SYN_CBs_ALTO_03141,8966,1678,8.1,48,212,20,102,1,29.6,32.2,72,77,84
CBs,SYN_CBs_BAIXO_01438,1521,270,1.0,3,33,1,28,0,23.9,26.1,8,6,46
CMs,SYN_CMs_MEDIO_01721,5912,1208,6.2,21,228,14,84,3,31.5,32.8,42,26,72
WBs,SYN_WBs_MEDIO_00364,6499,1313,6.6,66,319,13,75,0,27.0,29.5,43,43,86
10s,SYN_10s_MEDIO_00845,4492,802,3.9,29,209,9,59,1,27.9,29.8,45,34,73
10s,SYN_10s_ALTO_00762,9157,1769,8.4,91,371,21,95,5,30.3,33.1,65,62,93
WBs,SYN_WBs_ALTO_01433,8628,1663,8.2,80,445,20,98,5,30.9,32.4,75,64,86
STs,SYN_STs_ALTO_02108,8317,1592,7.9,90,440,33,102,8,31.3,33.2,69,74,83
,SYN_Indefinido_ALTO_00216,7805,1445,6.5,31,195,14,93,4,27.5,29.6,59,37,84
10s,SYN_10s_MEDIO_02556,4874,1027,5.5,28,185,13,68,2,30.7,32.5,38,31,69
STs,SYN_STs_MEDIO_01526,5621,1144,5.9,44,279,16,63,4,28.4,31.2,59,40,83
CMs,SYN_CMs_MEDIO_02697,5674,1185,5.9,35,209,8,73,0,28.5,30.0,37,40,77
CBs,SYN_CBs_MEDIO_00125,4259,720,3.2,8,0,11,57,1,25.8,28.9,46,43,69
,SYN_Indefinido_ALTO_00342,8780,1755,8.4,53,360,29,105,7,29.2,30.6,70,64,81
STs,SYN_STs_ALTO_01122,10100,1876,9.6,93,448,30,100,8,29.6,32.2,84,83,95
CBs,SYN_CBs_ALTO_02792,8383,1689,7.8,40,233,23,96,1,29.0,32.1,69,65,86
CBs,SYN_CBs_MEDIO_02522,4911,1108,5.4,3,46,8,73,0,28.9,31.3,33,29,67
CMs,SYN_CMs_MEDIO_02528,3467,751,4.0,14,94,6,57,1,28.9,31.9,16,24,57
WBs,SYN_WBs_ALTO_01095,8556,1773,9.5,73,327,20,102,5,31.4,33.8,66,59,84
STs,SYN_STs_MEDIO_01229,5620,1090,5.6,35,200,12,73,4,27.4,28.9,37,42,71
CBs,SYN_CBs_ALTO_00512,9706,1831,9.1,29,270,29,103,4,26.4,28.2,81,80,92
CMs,SYN_CMs_ALTO_01409,10030,1983,10.0,72,275,15,121,2,28.9,32.1,61,52,81
WBs,SYN_WBs_ALTO_01409,10342,2064,10.4,71,478,26,100,7,31.2,33.4,62,64,96
,SYN_Indefinido_ALTO_00228,9272,1778,8.6,54,236,18,108,4,29.3,32.9,73,69,85
CBs,SYN_CBs_MEDIO_00263,6089,1173,6.0,13,170,16,72,2,27.7,29.6,48,37,82
CBs,SYN_CBs_ALTO_00693,9958,1958,9.7,22,300,26,96,3,31.5,34.9,80,75,96
WBs,SYN_WBs_BAIXO_00543,549,13,0.7,27,71,3,7,0,28.7,30.1,12,16,49
STs,SYN_STs_MEDIO_00808,6395,1216,5.0,41,231,16,70,5,29.5,31.5,49,38,84
CMs,SYN_CMs_BAIXO_00701,1280,83,0.1,3,29,3,23,1,26.9,29.4,10,9,53
10s,SYN_10s_ALTO_03311,9780,1953,9.7,80,412,27,107,4,30.4,33.8,82,78,93
STs,SYN_STs_ALTO_01785,9489,1775,9.6,96,471,24,105,8,29.0,32.2,75,74,96
10s,SYN_10s_ALTO_00952,9190,1717,8.6,81,322,21,113,3,30.5,33.0,62,77,82
10s,SYN_10s_ALTO_03297,8466,1570,7.9,71,320,19,85,4,31.2,33.9,76,53,95
CMs,SYN_CMs_ALTO_01357,10194,1971,9.6,44,361,20,123,2,29.1,30.3,55,60,84
STs,SYN_STs_ALTO_01011,9699,1806,9.2,96,360,31,96,7,25.7,28.6,87,68,96
WBs,SYN_WBs_MEDIO_01353,5236,937,4.4,42,220,12,86,4,28.5,31.3,28,34,60
WBs,SYN_WBs_ALTO_01201,10233,2124,11.0,97,418,20,115,5,29.5,32.6,70,67,87
10s,SYN_10s_BAIXO_00846,1490,382,2.0,4,86,5,30,1,28.1,30.2,22,7,50
,SYN_Indefinido_ALTO_00906,9045,1752,9.0,69,432,26,96,4,28.9,32.2,64,72,96
10s,SYN_10s_MEDIO_00199,5281,914,5.3,5,174,16,63,3,28.1,31.6,44,45,86
STs,SYN_STs_ALTO_01798,9920,1847,8.9,117,326,28,115,7,28.4,31.4,83,73,88
10s,SYN_10s_ALTO_01252,8214,1689,8.3,69,348,28,104,5,29.1,32.7,69,62,82
STs,SYN_STs_BAIXO_00250,374,205,0.6,8,17,3,15,0,22.4,25.4,10,10,23
,SYN_Indefinido_ALTO_00526,7030,1308,6.7,64,166,16,89,2,26.6,28.1,70,68,85
STs,SYN_STs_ALTO_01508,9299,1584,8.4,112,327,37,100,9,29.8,31.1,80,80,92
10s,SYN_10s_ALTO_00073,8668,1717,8.1,64,325,24,116,3,31.2,34.8,77,61,81
CMs,SYN_CMs_ALTO_03199,8537,1704,8.8,49,293,19,100,2,30.8,32.6,64,54,82
STs,SYN_STs_MEDIO_00293,5195,945,4.4,57,221,13,73,5,30.6,32.4,44,44,69
10s,SYN_10s_BAIXO_00009,1520,328,2.0,15,26,4,38,2,26.1,27.4,2,14,42
CMs,SYN_CMs_MEDIO_01677,6889,1393,6.5,33,216,9,78,2,26.2,28.2,43,31,87
10s,SYN_10s_BAIXO_00933,112,78,0.3,6,0,1,7,0,24.8,26.6,1,11,8
10s,SYN_10s_MEDIO_01789,5230,1123,6.5,22,344,11,77,0,28.9,30.1,42,40,76
CMs,SYN_CMs_ALTO_00672,8963,1667,8.1,69,276,21,98,3,31.5,33.2,42,69,88
10s,SYN_10s_MEDIO_00118,5165,951,5.4,31,278,15,74,3,28.3,31.1,54,44,69
,SYN_Indefinido_ALTO_00644,8223,1651,8.2,24,312,15,102,4,24.8,27.2,62,48,80
10s,SYN_10s_BAIXO_01210,493,98,0.5,0,0,0,96,0,26.9,29.2,2,0,5
STs,SYN_STs_MEDIO_00069,3544,726,3.7,82,120,15,52,5,30.3,32.8,35,35,67
CBs,SYN_CBs_MEDIO_01465,5170,921,4.6,32,126,10,67,1,26.4,29.1,48,32,73
,SYN_Indefinido_BAIXO_00475,603,185,1.4,7,78,4,14,3,27.2,30.4,7,10,49
CBs,SYN_CBs_MEDIO_01683,6105,1018,5.3,22,273,17,65,1,26.4,27.7,60,44,87
,SYN_Indefinido_MEDIO_00285,4240,883,4.9,53,146,8,57,3,27.6,31.1,21,29,64
,SYN_Indefinido_MEDIO_00863,6479,1297,6.9,33,164,16,80,3,28.2,31.0,49,50,81
WBs,SYN_WBs_ALTO_00744,10433,2037,9.4,80,443,22,117,6,29.5,31.7,73,60,86
STs,SYN_STs_BAIXO_00344,1002,269,1.6,0,0,3,25,0,26.5,29.8,11,9,48
,SYN_Indefinido_MEDIO_00697,4920,795,3.8,43,130,11,85,2,33.2,34.5,23,33,55
,SYN_Indefinido_BAIXO_00089,50,8,0.3,2,6,0,12,0,25.4,27.0,4,0,6
,SYN_Indefinido_BAIXO_00227,1876,300,1.6,10,112,3,44,0,26.4,28.3,14,15,48
CMs,SYN_CMs_BAIXO_01174,1525,321,1.5,0,46,1,32,0,24.5,25.9,1,8,43
CBs,SYN_CBs_BAIXO_00589,1775,106,0.8,2,0,1,33,0,25.3,28.5,6,8,46
STs,SYN_STs_MEDIO_01710,7054,1341,6.9,53,242,25,73,6,25.4,28.6,57,52,87
CMs,SYN_CMs_MEDIO_02558,6540,1364,6.5,29,193,17,85,4,28.3,30.8,51,50,80
CBs,SYN_CBs_BAIXO_00662,1521,250,1.9,4,13,0,32,0,24.3,27.8,0,6,37
CBs,SYN_CBs_MEDIO_01754,5641,901,5.0,32,185,13,79,2,26.5,29.8,39,52,77
CMs,SYN_CMs_BAIXO_00281,1439,302,1.4,13,58,1,25,0,27.2,29.7,3,4,49
CBs,SYN_CBs_ALTO_01810,9629,1780,8.8,44,328,22,101,4,27.9,31.4,72,78,91
10s,SYN_10s_MEDIO_00555,4301,814,4.5,31,212,10,63,2,30.1,32.7,31,29,71
CMs,SYN_CMs_ALTO_00860,10014,1730,8.6,53,263,20,112,3,29.4,32.5,50,58,89
10s,SYN_10s_ALTO_01554,8982,1833,9.6,73,335,23,99,5,30.6,31.7,71,70,91
CBs,SYN_CBs_MEDIO_00680,6518,1324,6.7,31,177,15,71,2,29.2,31.6,49,32,83
WBs,SYN_WBs_MEDIO_00141,7201,1332,6.4,45,337,21,94,5,29.5,32.6,55,43,82
CMs,SYN_CMs_MEDIO_02996,3936,673,3.2,22,44,7,64,2,27.0,28.7,16,25,60
CBs,SYN_CBs_MEDIO_00200,4557,714,3.7,22,146,12,66,3,31.2,32.6,39,30,75
CBs,SYN_CBs_MEDIO_01690,5224,1020,4.9,13,117,8,74,0,29.9,31.1,44,23,71
CBs,SYN_CBs_ALTO_00695,7776,1521,7.4,41,248,20,92,2,27.9,30.1,75,72,83
10s,SYN_10s_ALTO_02834,9361,1762,9.0,83,348,21,98,6,28.8,30.2,73,71,94
10s,SYN_10s_MEDIO_02655,4554,918,5.1,38,171,10,79,2,29.8,32.5,33,38,66
10s,SYN_10s_MEDIO_02723,3043,502,2.5,34,70,8,55,1,27.6,31.0,35,16,58
CBs,SYN_CBs_BAIXO_00483,362,90,0.7,1,47,0,21,0,24.8,28.2,3,0,13
CMs,SYN_CMs_BAIXO_00942,577,77,0.6,15,48,1,22,1,26.9,29.0,1,1,29
CMs,ORIG_ATL_CMs_030,6213,1283,6.8,41,51,11,114,2,28.5,31.5,20,45,55
10s,SYN_10s_ALTO_00824,9509,1754,8.9,69,426,25,110,6,32.8,35.8,87,66,87
WBs,SYN_WBs_BAIXO_00642,1419,191,0.4,10,43,0,32,0,25.7,26.9,7,1,38
STs,SYN_STs_ALTO_01196,9226,1805,8.2,107,338,27,112,7,27.4,30.9,70,74,83
WBs,SYN_WBs_MEDIO_01582,4958,1006,5.2,23,147,11,90,2,30.7,32.7,30,24,54
CBs,SYN_CBs_ALTO_00785,7767,1486,7.8,19,114,19,92,2,25.5,28.9,68,53,82
STs,SYN_STs_BAIXO_00941,50,8,0.1,2,0,1,3,1,27.2,29.7,1,4,17
STs,SYN_STs_MEDIO_01489,4759,974,4.3,34,132,10,67,2,29.2,31.0,43,35,59
CBs,SYN_CBs_ALTO_02309,8504,1462,7.1,49,274,25,105,3,29.5,30.8,73,60,82
CMs,SYN_CMs_MEDIO_00762,5374,1104,4.9,21,252,12,59,2,28.0,29.8,31,33,80
10s,SYN_10s_ALTO_00643,9373,1889,9.0,70,395,21,112,5,31.7,33.7,77,64,84
CBs,SYN_CBs_BAIXO_00445,1034,136,0.5,5,37,0,24,0,22.5,25.9,4,3,40
STs,SYN_STs_MEDIO_00505,5201,1011,5.2,41,246,14,69,2,25.4,28.5,40,34,73
STs,ORIG_ATL_STs_026,6291,1175,5.9,91,272,16,109,3,26.8,28.3,46,39,58
STs,SYN_STs_ALTO_01204,10327,1915,10.1,108,413,37,111,12,28.9,30.9,91,86,90
STs,SYN_STs_ALTO_01477,8932,1714,8.0,85,333,28,102,7,31.6,34.6,73,71,90
10s,SYN_10s_ALTO_00553,8247,1602,8.3,64,298,18,90,3,30.3,31.7,58,50,88
CBs,SYN_CBs_BAIXO_01086,658,91,0.6,0,0,0,130,0,23.7,24.9,1,0,5
CMs,SYN_CMs_MEDIO_00422,3319,662,4.3,20,104,7,62,1,28.1,30.7,19,30,54
WBs,SYN_WBs_BAIXO_00292,1456,273,0.8,18,117,3,42,1,27.0,30.3,11,8,33
CMs,SYN_CMs_ALTO_01243,10902,2267,11.4,60,325,24,123,3,30.6,32.2,56,73,89
10s,SYN_10s_ALTO_00204,8009,1645,8.4,72,365,26,89,3,32.0,34.1,68,68,84
CMs,SYN_CMs_ALTO_01894,9497,2038,10.8,34,332,21,115,5,32.1,35.4,53,59,79
10s,SYN_10s_ALTO_01327,9671,1935,10.1,71,326,33,94,6,26.5,29.1,86,73,93
CMs,SYN_CMs_ALTO_01359,11564,2335,11.8,77,273,18,128,2,30.7,33.6,65,74,94
CBs,SYN_CBs_MEDIO_02220,5328,1062,5.5,31,188,12,79,0,28.6,31.7,38,36,66
STs,SYN_STs_ALTO_01740,11339,2405,12.0,121,482,27,119,10,29.7,31.2,93,81,96
CBs,SYN_CBs_ALTO_01432,9692,1945,9.8,45,250,24,101,3,27.3,29.9,93,83,92
,SYN_Indefinido_ALTO_00921,8703,1782,8.5,97,295,23,96,5,26.2,29.4,57,81,86
STs,SYN_STs_MEDIO_00013,4908,1115,5.6,78,315,13,77,2,25.8,29.0,50,35,64
STs,SYN_STs_ALTO_02373,8368,1615,7.5,90,456,22,84,7,29.3,31.1,67,73,94
CBs,SYN_CBs_BAIXO_00648,730,115,1.0,0,33,1,65,0,23.9,27.0,1,6,12
10s,SYN_10s_MEDIO_02201,4504,850,4.8,38,191,10,65,2,27.8,29.3,38,41,78
,SYN_Indefinido_ALTO_00531,9037,1764,9.0,53,348,27,102,6,34.6,37.0,74,77,91
CMs,SYN_CMs_ALTO_03161,9969,1909,9.5,62,271,22,117,4,27.9,29.8,64,44,87
10s,SYN_10s_MEDIO_02184,6364,1334,7.0,55,237,13,74,1,31.1,33.8,47,38,86
CMs,SYN_CMs_ALTO_00544,9495,1879,9.8,53,282,22,114,4,30.4,33.8,56,61,80
CMs,SYN_CMs_BAIXO_00125,692,30,0.7,0,55,1,52,0,27.7,30.9,0,7,16
CMs,SYN_CMs_BAIXO_00584,759,228,1.0,1,0,2,77,1,24.6,26.8,10,0,9
CBs,SYN_CBs_MEDIO_02079,5877,1247,6.4,31,198,15,75,1,28.9,31.9,47,44,75
10s,SYN_10s_MEDIO_02361,5692,1173,6.0,38,241,13,70,3,29.3,31.9,47,30,82
,SYN_Indefinido_MEDIO_00831,4461,765,4.1,35,301,13,54,4,25.9,28.3,42,46,81
CBs,SYN_CBs_ALTO_02668,10387,1782,9.2,27,342,23,115,2,28.3,30.4,76,82,92
10s,SYN_10s_MEDIO_01809,4592,764,3.8,39,283,6,60,2,24.8,27.2,13,30,75
CBs,SYN_CBs_ALTO_02416,9713,1737,8.6,43,253,25,104,2,28.9,32.5,84,70,90
CMs,SYN_CMs_ALTO_00238,10617,2065,10.0,49,410,25,124,2,33.2,36.1,74,66,88
WBs,SYN_WBs_MEDIO_00982,5514,1023,5.1,45,172,14,58,4,30.8,33.8,49,35,81
,SYN_Indefinido_ALTO_00727,9232,1787,8.9,73,296,17,95,3,28.7,30.4,62,55,93
CBs,SYN_CBs_MEDIO_00673,3610,729,3.4,16,151,12,59,1,29.8,33.2,33,33,60
WBs,SYN_WBs_MEDIO_00004,5168,1003,5.8,56,313,9,77,1,28.8,32.1,36,43,65
CMs,SYN_CMs_MEDIO_01024,4123,783,3.8,31,84,10,66,3,28.4,30.3,18,34,58
CMs,SYN_CMs_MEDIO_02012,5672,1160,5.8,28,155,9,75,1,27.5,30.5,36,34,77
CBs,SYN_CBs_MEDIO_01845,4121,888,4.5,21,63,9,62,1,26.5,29.6,39,30,66
10s,SYN_10s_ALTO_01698,8763,1714,8.2,63,370,22,105,4,30.2,32.7,62,60,84
STs,SYN_STs_ALTO_02201,9550,1927,9.2,96,385,27,104,7,33.8,37.4,70,67,95
,SYN_Indefinido_ALTO_00569,6705,1172,5.9,81,315,24,79,3,32.3,34.6,56,70,83
10s,SYN_10s_ALTO_03399,8463,1928,8.6,56,227,18,107,4,30.9,34.1,57,46,80
,SYN_Indefinido_ALTO_00508,7808,1613,8.5,64,176,20,90,5,30.0,32.5,43,51,86
WBs,SYN_WBs_BAIXO_00631,994,157,0.7,16,129,2,13,1,26.8,29.1,9,7,48
10s,SYN_10s_MEDIO_00684,5473,1203,6.3,48,218,15,67,3,28.9,32.0,30,46,73
WBs,SYN_WBs_MEDIO_00366,3791,806,3.8,39,177,7,65,0,33.6,36.4,32,31,58
WBs,SYN_WBs_MEDIO_01999,5986,1203,6.2,43,298,14,93,2,29.1,30.7,32,41,68
STs,SYN_STs_BAIXO_00137,462,15,0.1,16,60,0,16,0,25.2,28.8,4,0,25
,SYN_Indefinido_MEDIO_00968,4822,1102,5.5,24,117,11,83,1,28.9,31.9,36,33,57
WBs,SYN_WBs_BAIXO_00718,1256,151,0.9,12,16,1,32,0,25.6,28.9,0,13,43
10s,SYN_10s_MEDIO_00733,5405,957,4.9,48,162,12,62,1,28.0,29.7,46,42,77
STs,SYN_STs_MEDIO_00001,4160,952,4.6,53,208,12,54,5,31.6,33.7,40,32,69
WBs,SYN_WBs_MEDIO_00727,5261,1019,4.5,59,210,13,76,5,30.2,31.8,29,27,64
CMs,SYN_CMs_MEDIO_02946,5152,900,4.7,58,248,7,73,2,27.3,28.7,28,26,73
10s,SYN_10s_ALTO_00110,10711,2205,10.5,74,304,21,116,5,30.1,31.9,70,75,91
CBs,SYN_CBs_ALTO_03146,8105,1547,7.0,28,192,25,92,3,30.1,31.3,81,67,84
CBs,SYN_CBs_MEDIO_00850,5786,1085,5.7,32,154,12,67,1,27.6,29.6,54,45,86
CMs,SYN_CMs_BAIXO_00364,1071,195,1.1,0,0,1,117,0,26.2,29.3,0,12,9
STs,SYN_STs_ALTO_02308,8758,1672,7.9,75,375,23,110,8,28.2,29.9,76,68,84
CMs,SYN_CMs_MEDIO_00060,3395,803,4.1,24,213,8,65,0,26.3,29.6,36,25,57
STs,SYN_STs_MEDIO_00575,6182,1136,5.4,52,241,20,73,8,30.3,31.7,52,43,86
CMs,SYN_CMs_ALTO_02927,9699,1892,9.0,49,269,24,103,4,28.9,31.2,63,66,92
WBs,SYN_WBs_MEDIO_00882,6312,1308,6.7,53,207,14,72,2,26.6,29.7,53,45,84
CMs,SYN_CMs_MEDIO_01201,4519,940,4.0,37,195,5,74,0,26.4,28.3,28,21,63
CMs,SYN_CMs_ALTO_01363,9227,1788,8.6,56,346,23,114,3,31.0,33.7,65,68,81
STs,SYN_STs_BAIXO_00511,1958,382,2.0,0,106,2,54,0,26.7,29.1,9,9,37
CBs,SYN_CBs_MEDIO_00286,4211,857,4.7,15,131,11,63,1,26.5,27.8,38,38,69
CBs,SYN_CBs_ALTO_02756,7690,1353,7.1,17,179,18,89,2,28.8,32.4,60,53,80
STs,SYN_STs_ALTO_01602,10423,2177,11.5,115,475,32,118,8,30.8,32.0,73,68,87
STs,SYN_STs_MEDIO_00043,3402,617,3.5,32,183,8,64,4,31.1,32.3,29,20,54
CBs,SYN_CBs_MEDIO_00088,4945,861,3.7,21,159,9,90,1,27.8,31.2,32,27,56
CMs,SYN_CMs_MEDIO_02100,7947,1605,7.2,28,184,16,90,4,27.1,28.3,40,38,83
WBs,SYN_WBs_ALTO_01670,9673,1799,8.8,78,397,25,107,5,30.4,33.1,63,64,83
WBs,SYN_WBs_ALTO_01945,9202,1711,7.7,85,379,22,108,4,32.9,34.2,66,67,86
STs,SYN_STs_ALTO_01434,8611,1719,7.6,85,379,26,90,10,32.5,35.2,68,66,92
10s,SYN_10s_MEDIO_02648,4649,1112,5.2,44,133,12,68,4,29.6,31.3,47,24,67
10s,SYN_10s_MEDIO_00788,4050,875,4.3,42,144,7,69,2,30.9,32.6,34,23,55
CBs,SYN_CBs_BAIXO_00367,598,73,0.3,0,0,0,29,0,23.3,25.3,1,8,19
WBs,SYN_WBs_MEDIO_01308,6550,1426,7.5,56,321,12,89,1,32.3,34.9,38,40,73
,SYN_Indefinido_ALTO_00806,8961,1660,8.6,76,335,25,107,4,28.0,30.1,67,67,83
STs,SYN_STs_ALTO_01548,8915,1635,8.4,104,474,26,101,8,32.4,34.9,71,76,87
CBs,SYN_CBs_MEDIO_00888,4902,926,4.2,22,118,10,86,0,28.3,29.5,27,40,59
CBs,SYN_CBs_ALTO_00180,9014,1846,9.6,31,226,20,103,4,29.3,31.0,74,71,87
WBs,SYN_WBs_BAIXO_00424,991,419,2.7,6,0,2,34,0,25.2,26.9,8,5,30
10s,SYN_10s_ALTO_00541,8750,1774,9.0,63,205,27,104,4,29.0,32.5,76,71,83
10s,SYN_10s_BAIXO_00090,270,171,0.9,11,18,1,5,0,23.7,26.9,11,0,29
WBs,SYN_WBs_ALTO_00112,10582,2231,11.3,65,465,27,120,4,32.2,34.8,66,71,86
WBs,SYN_WBs_MEDIO_00705,5674,1064,5.2,87,157,15,82,3,27.6,29.6,47,41,72
CBs,SYN_CBs_BAIXO_01394,50,8,0.1,1,4,1,11,0,26.5,27.7,8,0,10
STs,SYN_STs_MEDIO_01791,5506,1049,5.3,75,180,12,83,5,28.5,31.2,34,36,69
CBs,SYN_CBs_ALTO_00531,9675,1827,9.2,13,307,27,120,5,28.7,30.4,81,65,84
CBs,SYN_CBs_MEDIO_02110,5276,1141,6.3,16,105,17,67,1,27.6,30.4,54,42,77
,SYN_Indefinido_BAIXO_00781,287,19,0.1,1,37,2,20,0,25.3,28.1,14,3,16
10s,SYN_10s_ALTO_02505,7679,1346,6.6,79,358,20,89,3,31.3,34.4,66,56,91
10s,SYN_10s_ALTO_00246,7881,1656,8.6,77,340,23,96,4,30.6,33.6,54,58,83
CBs,SYN_CBs_BAIXO_01167,725,160,1.1,3,0,2,37,0,26.5,28.7,17,1,19
CBs,SYN_CBs_ALTO_01766,8501,1703,8.1,34,212,26,89,3,29.4,32.6,73,80,96
CMs,SYN_CMs_MEDIO_00134,5204,1034,5.2,24,250,8,68,1,28.2,31.1,25,44,66
CMs,SYN_CMs_BAIXO_01448,606,201,0.9,0,0,1,39,0,25.3,27.0,8,0,20
STs,SYN_STs_ALTO_02496,6755,1489,7.6,62,312,19,78,6,32.0,34.1,61,57,80
10s,SYN_10s_MEDIO_00875,4863,935,4.1,41,250,11,70,4,27.3,28.5,33,38,73
10s,SYN_10s_ALTO_01941,8369,1512,7.8,72,295,20,96,3,31.3,32.4,65,63,86
STs,SYN_STs_MEDIO_01465,6218,1111,5.3,69,243,16,72,5,28.6,30.9,51,48,84
CMs,SYN_CMs_ALTO_01896,9179,1807,8.8,64,299,16,108,3,30.7,32.5,45,68,82
,SYN_Indefinido_BAIXO_00498,1257,189,1.1,10,97,1,73,0,24.9,28.0,7,0,17
CMs,SYN_CMs_MEDIO_00107,5560,1070,4.7,36,228,12,73,4,28.0,30.6,41,35,74
WBs,SYN_WBs_ALTO_01975,11214,2137,10.8,63,504,28,124,8,30.8,33.6,76,72,90
STs,SYN_STs_ALTO_02330,9125,1821,9.3,103,328,30,96,7,31.6,34.3,71,62,96
CMs,SYN_CMs_ALTO_01235,11438,2246,11.1,84,372,23,119,5,30.4,33.0,62,73,95
CBs,SYN_CBs_MEDIO_01697,3226,521,2.4,10,115,9,55,0,28.2,31.3,31,29,56
10s,SYN_10s_ALTO_01145,8983,1828,9.6,99,390,19,100,5,30.0,31.2,75,68,89
CBs,SYN_CBs_ALTO_01911,8625,1584,8.2,26,212,25,94,4,27.5,29.7,69,70,89
10s,SYN_10s_BAIXO_00264,720,242,1.5,11,10,1,84,2,26.9,28.3,0,0,9
CBs,SYN_CBs_BAIXO_00434,854,179,1.1,8,71,0,78,0,27.2,28.7,0,0,11
CBs,SYN_CBs_BAIXO_00398,1221,146,0.8,20,4,3,37,0,25.1,26.8,10,13,32
,SYN_Indefinido_MEDIO_00262,5552,958,4.8,39,206,10,71,0,27.4,29.9,54,34,79
STs,SYN_STs_BAIXO_00630,147,228,1.0,8,3,3,5,1,23.7,25.3,11,7,22
CMs,SYN_CMs_MEDIO_01373,4728,880,5.0,42,91,9,73,1,29.1,30.8,33,31,57
WBs,SYN_WBs_MEDIO_00867,6062,1123,5.9,41,224,11,80,3,29.5,32.1,30,25,70
WBs,SYN_WBs_MEDIO_01247,7227,1343,6.5,70,247,10,85,2,28.6,32.1,39,39,82
CBs,SYN_CBs_ALTO_00186,7463,1527,6.9,25,193,14,86,1,28.5,30.7,68,58,81
CBs,SYN_CBs_BAIXO_01490,948,184,1.5,0,3,2,45,0,28.2,30.1,3,13,22
STs,SYN_STs_MEDIO_01046,4630,1020,6.1,49,210,11,69,4,26.8,30.1,41,38,66
,SYN_Indefinido_BAIXO_00749,155,204,1.6,0,20,1,7,0,26.8,28.9,1,12,28
10s,SYN_10s_ALTO_00484,7637,1371,6.7,67,310,21,93,5,29.0,32.1,61,52,84
WBs,SYN_WBs_MEDIO_00560,3886,723,3.5,28,212,10,62,0,29.6,32.1,37,25,62
WBs,SYN_WBs_MEDIO_00811,5737,1219,6.0,70,270,16,91,5,31.8,34.3,35,37,61
STs,SYN_STs_ALTO_02215,9672,2049,10.6,98,409,22,97,5,30.5,32.2,78,61,89
WBs,SYN_WBs_BAIXO_00783,1385,260,1.9,0,0,0,75,0,25.0,26.9,0,0,18
STs,SYN_STs_ALTO_00411,10952,2073,10.6,121,349,28,120,9,28.5,30.0,85,77,91
CBs,SYN_CBs_MEDIO_01714,5702,1146,5.8,34,163,12,77,2,23.7,25.9,46,42,78
STs,SYN_STs_ALTO_01268,9373,1873,9.2,97,408,25,110,8,27.0,30.3,76,62,88
10s,SYN_10s_ALTO_02974,9081,1980,10.4,85,344,23,101,4,30.9,34.3,76,64,90
STs,SYN_STs_ALTO_01874,10930,2280,11.9,106,455,35,121,9,28.8,30.7,85,74,92
,SYN_Indefinido_MEDIO_00064,4371,768,4.2,14,193,7,72,0,28.5,30.1,12,35,56
STs,SYN_STs_ALTO_00876,9402,1827,9.1,101,300,25,106,9,27.3,29.2,75,52,88
WBs,SYN_WBs_MEDIO_00905,6016,1118,5.7,52,152,19,83,5,30.2,31.6,42,45,73
STs,SYN_STs_ALTO_01600,9745,1834,9.5,85,491,32,101,11,30.0,31.6,69,75,94
CMs,SYN_CMs_ALTO_02025,10001,2040,9.8,73,369,29,108,5,29.7,30.8,63,80,89
10s,SYN_10s_ALTO_01510,9724,1787,8.4,72,386,18,119,5,31.5,33.4,62,62,83
,SYN_Indefinido_BAIXO_00124,50,8,0.4,0,0,2,3,0,25.3,27.8,5,11,24
STs,SYN_STs_ALTO_00588,8789,1826,8.8,101,380,30,103,9,29.9,31.3,77,52,88
